id,title,authors,pdf_url,mp4_url,review_url,source_page
,においに基づくコンテキストアウェアシステムの設計と実装,寺田努(神戸大)，小林泰貴(神戸大)，塚本昌彦(神戸大),https://www.wiss.org/WISS2011Proceedings/PDF/01.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,WrinkleSurface: しわを作って入力できる柔らかいマルチタッチインタフェース,坂本侑一郎(筑波大)，吉川拓人(筑波大)，大江龍人(筑波大)，志築文太郎(筑波大)，福本雅朗(NTTドコモ)，田中二郎(筑波大),https://www.wiss.org/WISS2011Proceedings/PDF/02.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,PINOKY：ぬいぐるみを駆動するリング型のデバイス,杉浦裕太(慶応大学 / JST)，LeeCalista(慶大)，尾形正泰(慶大／JST)，牧野泰才(慶大)，坂本大介(東大／JST ERATO)，稲見昌彦(慶應大)，五十嵐健夫(東大),https://www.wiss.org/WISS2011Proceedings/PDF/03.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,ニンジャトラック：形状と柔軟性が変化する構造体をもちいたインタラクション技法,勝本雄一朗(シンガポール国立大学)，徳久悟(慶大)，稲蔭正彦(慶大),https://www.wiss.org/WISS2011Proceedings/PDF/04.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,動画の極限的な高速鑑賞のためのシステムの開発と評価,栗原一貴(産総研),https://www.wiss.org/WISS2011Proceedings/PDF/05.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,物語の要約を支援するインターフェース,田中翔太郎(電通大)，岡部誠(電気通信大学 / JST PRESTO)，尾内理紀夫(電通大),https://www.wiss.org/WISS2011Proceedings/PDF/06.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,ネタバレを見ずにレビュー文を閲覧できるシステムの開発,池田郁(阪大)，土方嘉徳(阪大)，岩井秀成(阪大)，西田正吾(阪大),https://www.wiss.org/WISS2011Proceedings/PDF/07.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,構造を持つ時系列情報に関する3次元可視化フレームワーク,伊藤正彦(東大)，豊田正史(東大)，喜連川優(東大),https://www.wiss.org/WISS2011Proceedings/PDF/08.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,インタラクティブなビーズデザインと制作支援,五十嵐悠紀(筑波大／JSPS)，五十嵐健夫(東大／JST ERATO)，三谷純(筑波大／JST ERATO),https://www.wiss.org/WISS2011Proceedings/PDF/09.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,数式の予測入力インタフェースの開発,堀江圭介(阪大)，土方嘉徳(阪大)，西田正吾(阪大),https://www.wiss.org/WISS2011Proceedings/PDF/10.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,絵楽器の設計段階におけるプロトタイピング支援システムの設計と実装,竹川佳成(神大)，福司謙一郎(東工大)，Machover Tod(MIT Media Lab)，寺田努(神戸大)，塚本昌彦(神戸大),https://www.wiss.org/WISS2011Proceedings/PDF/11.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,スイッチバックカーソル：重なりあったウィンドウ間を移動可能なマウスカーソル操作手法,山中祥太(明治大)，宮下芳明(明治大／JST),https://www.wiss.org/WISS2011Proceedings/PDF/12.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,Gorotte:情報の消費者ではなく生産者になるための試み,大坪五郎(（株）ネクスト),https://www.wiss.org/WISS2011Proceedings/PDF/13.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,視聴者の反応に基づく動画検索および推薦システムの提案,佃洸摂(京大)，中村聡史(京都大学)，田中克己(京大),https://www.wiss.org/WISS2011Proceedings/PDF/14.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,smoon: Webの実体化による行動支援とその試作,渡邊恵太(JST)，佐藤彩夏(お茶の水女子大)，松田聖大(JST)，稲見昌彦(慶應大)，五十嵐健夫(東大),https://www.wiss.org/WISS2011Proceedings/PDF/15.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,DataWikiを活用した社会的アプリケーションの構築,江渡浩一郎(産総研)，濱崎雅弘(産総研)，沢田洋平(産総研),https://www.wiss.org/WISS2011Proceedings/PDF/16.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,笑顔は人を幸せにするのか？笑顔促進支援システム,辻田眸(東京大学)，暦本純一(東京大学／ソニーCSL),https://www.wiss.org/WISS2011Proceedings/PDF/17.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,Sharedo: To-doリストによる人-ロボット間のタスク共有,加藤淳(東大／JSPS)，坂本大介(東大／JST ERATO)，五十嵐健夫(東大),https://www.wiss.org/WISS2011Proceedings/PDF/18.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,身体性を考慮した着ぐるみ装着者支援システム,岡崎辰彦(神戸大)，寺田努(神戸大)，塚本昌彦(神戸大),https://www.wiss.org/WISS2011Proceedings/PDF/19.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,文の構造を明示的に指定・表示することによる異言語間コミュニケーション,五十嵐健夫(東大),https://www.wiss.org/WISS2011Proceedings/PDF/20.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,Colorscore : クラシック音楽における音楽構造の俯瞰と縮約の可視化手法,林 亜紀 ，伊藤 貴之 (お茶大)，松原 正樹 (慶大),https://www.wiss.org/WISS2011Proceedings/PDF/055.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,周辺スポットのリアルタイム情報を音で提示するガイドブックの開発,内山 琢海，川本 公章，羽田 亜美，米谷 健吾 (京都工繊大),https://www.wiss.org/WISS2011Proceedings/PDF/056.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,人物の共起性を配置に反映した大量個人写真ブラウザ,安田 理紗，五味 愛，伊藤 貴之 (お茶大),https://www.wiss.org/WISS2011Proceedings/PDF/057.pdf,,,https://www.wiss.org/WISS2011Proceedings/
,JewelryStudio：多視点からのアクセサリ写真撮影・閲覧システム,渡辺 千穂 (お茶大)，塚田 浩二 (お茶大／さきがけ)，椎尾 一郎 (お茶大),https://www.wiss.org/WISS2011Proceedings/PDF/058.pdf,,,https://www.wiss.org/WISS2011Proceedings/
