id,title,authors,pdf_url,mp4_url,review_url,source_page
,住宅内の機器・サービスを統合するためのビジュアルプログラミング環境,橋岡 良、平井 重行(京産大),https://www.wiss.org/WISS2013Proceedings/demo/095.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,肌マイクロスコープを用いた肌微細構造パラメータの診断,番場 文枝、猪股 真美、伊藤 貴之(お茶の水女子大)、豊田 成人、大髙 瞳、笹本 裕美(資生堂),https://www.wiss.org/WISS2013Proceedings/demo/079.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,倍音分析によるいい声作りの支援アプリに向けて,菅原 衣織、伊藤 貴之(お茶の水女子大),https://www.wiss.org/WISS2013Proceedings/demo/082.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,多様性と類似性を重視したアパレル商品閲覧システム,小池 恵里子、伊藤 貴之(お茶の水女子大),https://www.wiss.org/WISS2013Proceedings/demo/080.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,自由な筆記にロバストな手書き表認識システム,中洲 俊信、柴田 智行、井本 和範、三原 功雄(東芝),https://www.wiss.org/WISS2013Proceedings/demo/088.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,VisualMimic: スクリーンショットを利用した GUI 操作自動化のためのビジュアル開発環境,深堀 孔明、坂本 大介、五十嵐 健夫(東大),https://www.wiss.org/WISS2013Proceedings/demo/091.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,誰でも神プレイできるシューティングゲーム。,簗瀬 洋平(ユニティテクノロジーズジャパン),https://www.wiss.org/WISS2013Proceedings/demo/093.pdf,https://www.wiss.org/WISS2013Proceedings/video/093.mov,,https://www.wiss.org/WISS2013Proceedings/
,Unisoner: 同一楽曲を歌った異なる歌声を重ね合わせる合唱制作支援インタフェース,都築 圭太(筑波大)、中野 倫靖、後藤 真孝(産総研)、山田 武志、牧野 昭二(筑波大),https://www.wiss.org/WISS2013Proceedings/demo/087.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,部品へのプロジェクションマッピングによる通電しない電子工作,秋山 耀，宮下 芳明(明治大),https://www.wiss.org/WISS2013Proceedings/demo/089.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,ダンスパフォーマンスにおける 2 軸動作可能な電動カーテンを用いた隊形練習支援,土田 修平(神戸大)、寺田 努(神戸大/JST さきがけ)、塚本 昌彦(神戸大),https://www.wiss.org/WISS2013Proceedings/demo/106.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,浮遊ノートシステムにおける道案内機能の実装,"小野澤 清人,入江 英嗣,吉永 努(電通大)",https://www.wiss.org/WISS2013Proceedings/demo/131.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,1 つのセンサを用いたマルチタッチジェスチャセンサ,真鍋 宏幸(NTTドコモ),https://www.wiss.org/WISS2013Proceedings/demo/098.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,ボケる対話型システムの検討,"藤本 浩介,岡部 誠,尾内 理紀夫(電通大)",https://www.wiss.org/WISS2013Proceedings/demo/103.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,Autonomous Interactive Desk Environment の構築,"藤田 真康,諏訪 博彦,栗原 聡(電通大)",https://www.wiss.org/WISS2013Proceedings/demo/100.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,Bezel Check: ベゼル上におけるダブルクロッシングジェスチャ,"黒澤 敏文,志築 文太郎,田中 二郎(筑波大)",https://www.wiss.org/WISS2013Proceedings/demo/109.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,モチベーションの維持を考慮したピアノ学習支援システム,"福家 悠人,竹川 佳成,柳 英克(はこだて未来大)",https://www.wiss.org/WISS2013Proceedings/demo/107.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,ライフログに基づく音楽推薦システムMALLとその検証実験,"宇野 愛,伊藤 貴之(お茶の水女子大)",https://www.wiss.org/WISS2013Proceedings/demo/101.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,紙窓: そこに置くだけで操作可能なカードインタフェース,"加藤 邦拓,宮下 芳明(明治大)",https://www.wiss.org/WISS2013Proceedings/demo/104.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,擬音語アニメーションによる動画音響の可視化手法,"王 方舟(東大),柏野 邦夫,永野 秀尚(NTT),五十嵐 健夫(東大)",https://www.wiss.org/WISS2013Proceedings/demo/105.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,スマートフォンと MAD-SS を用いた長距離センサーノードの開発,"内田 泰広,瀬川 典久,澤本 潤,杉野 栄二(岩手県立大),矢澤 正人,後閑 政昭(数理設計研究所)",https://www.wiss.org/WISS2013Proceedings/demo/111.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,叩打音を利用した操作インタフェースと浴槽への適用,"伊藤 大毅,平井 重行(京産大)",https://www.wiss.org/WISS2013Proceedings/demo/094.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,BrightFace: プロジェクションによる表情拡張システム,"辻田 眸(東大),暦本 純一(東大/ソニーCSL)",https://www.wiss.org/WISS2013Proceedings/demo/102.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,暗記学習のための文節とモーラ数に基づいた替え歌自動生成システム,伊藤 悠真(神戸大)、寺田 努(神戸大/JST さきがけ)、塚本 昌彦(神戸大),https://www.wiss.org/WISS2013Proceedings/demo/113.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,軟らかくてよく弾むセンサ内蔵ボール,佐藤 俊樹(電通大),https://www.wiss.org/WISS2013Proceedings/demo/114.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,Overview Scrollbar: ページ全体を概観として表示するスクロールバー,溝口 晃、坂本 大介、五十嵐 健夫(東大),https://www.wiss.org/WISS2013Proceedings/demo/115.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,ペイントアプリケーションにおけるタッチアクションを用いたエフェクトの提案,武藤 寛、井川 裕貴、瀬川 典久、杉野 栄二、澤本 潤(岩手県立大),https://www.wiss.org/WISS2013Proceedings/demo/117.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,どこでも「いいね!」ボタン:位置評価情報の提示によるユーザ興味の変化に関する研究,佐々木 佳祐、寺田 実(電通大),https://www.wiss.org/WISS2013Proceedings/demo/120.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,音楽の構造情報を反映したミュージックビデオを簡単に制作・共有できるWebサービス,中嶋 誠、五十嵐 健夫(東大),https://www.wiss.org/WISS2013Proceedings/demo/124.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,手本データを自動抽出する運動指導システム,黒田 修平、入江 英嗣、吉永 努(電通大),https://www.wiss.org/WISS2013Proceedings/demo/126.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,行動ログの入力を支援するユーザインタフェースの設計と実装,"鈴木 孝宏,美馬 義亮(はこだて未来大)",https://www.wiss.org/WISS2013Proceedings/demo/116.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,デジタルコンテンツ生成のためのクラウドソーシングによるパラメタ最適化,小山 裕己、坂本 大介、五十嵐 健夫(東大),https://www.wiss.org/WISS2013Proceedings/demo/118.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,UnReC:文字入力に基づいたUndo/Redo,大江 龍人、志築 文太郎、田中 二郎(筑波大),https://www.wiss.org/WISS2013Proceedings/demo/119.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,SmarTrackBall:スマートフォンのアウトカメラを用いたトラックボール,深津 佳智、志築 文太郎、田中 二郎(筑波大),https://www.wiss.org/WISS2013Proceedings/demo/121.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,人間の表情を活用するライフログ閲覧,高井 啓、志築 文太郎、田中 二郎(筑波大),https://www.wiss.org/WISS2013Proceedings/demo/122.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,実世界オブジェクトへの機能拡張によるインタフェースの提案,"松嶌 信貴,赤池 英夫,角田 博保(電通大)",https://www.wiss.org/WISS2013Proceedings/demo/125.pdf,,,https://www.wiss.org/WISS2013Proceedings/
,EnchantMoonによる漢字・部首認識を活用した描画補助ツールの提案,"若林 花見(カンガルースタジオ),井川 裕貴,武藤 寛,瀬川 典久,杉野 栄二,澤本 潤(岩手県立大)",https://www.wiss.org/WISS2013Proceedings/demo/129.pdf,,,https://www.wiss.org/WISS2013Proceedings/
