id,title,authors,pdf_url,mp4_url,review_url,source_page
,まえがき: WISS2005について,椎尾 一郎,https://www.wiss.org/WISS2005Proceedings/preface.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,物体の堅さを表現した2 次元形状の操作手法 (要旨),"五十嵐健夫, Tomer Moscovich , John F. Hughes",https://www.wiss.org/WISS2005Proceedings/papers/As-Rigid-As-Possible_Shape_Manipulation/rigid-color.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,Active CyberCode: 直接操作できる二次元コード,"綾塚 祐二, 暦本 純一",https://www.wiss.org/WISS2005Proceedings/papers/Active_CyberCode_a_2D_Code_Enabling/acc-wiss2005color.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,広角カメラを用いた光学式シースルー型HMDにおける情報提示手法,"田中 宏平, 岸野 泰恵, 宮前 雅一, 寺田 努, 西尾章治郎",https://www.wiss.org/WISS2005Proceedings/papers/An_Information_layout_Method_for/wiss2005_color.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,ライブカメラ画像を用いたプレゼンス情報の表示手法,"高橋伸, 岩淵志学, Yann Jacquinot, 山田徹, 久松孝臣, 中村卓, 土持幸久, 金春明, 田中二郎",https://www.wiss.org/WISS2005Proceedings/papers/Showing_Presence_Information_on_a/finalwiss-color.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,ぱらぱらアニメによる体験データの要約・編集支援システム,"小関 悠, 角 康之, 西田 豊明, 間瀬 健二",https://www.wiss.org/WISS2005Proceedings/papers/System_Of_Summarization_And_Edit/2005_wiss_comic.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,IKESU: 「旬」な音楽を聴くための収集型ミュージックプレーヤー,"石井　隆昭, 望月　有人, 星野　剛史, 堀井　洋一",https://www.wiss.org/WISS2005Proceedings/papers/IKESU_Music_player_for_listening/IKESU_color_final.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,Gards-変化し続ける興味に対応する情報推薦,大坪五郎,https://www.wiss.org/WISS2005Proceedings/papers/Gards_-_Information_recommendation/gards-final2.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,SmartWrite:紙のシンプルさを追求した手書きメモツールの開発,"美崎 薫, 加藤 直樹",https://www.wiss.org/WISS2005Proceedings/papers/SmartWrite_Peperlike_pen-based_memo/smartwrite.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,バイクレース支援のためのイベント駆動型ウェアラブルシステムの実運用,"宮前 雅一, 岸野 泰恵, 寺田 努, 塚本 昌彦, 平岡 圭介, 福田 登仁, 西尾章治郎",https://www.wiss.org/WISS2005Proceedings/papers/Practical_Use_of_Event-driven_Wearable/WISSCameraColor.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,コンピュータ強化キッチンによるインタラクティブ調理支援,"浜田 玲子, 宮澤 寛, 鈴木 幸敏, 岡部 淳, 佐藤 真一, 坂井 修一, 椎尾 一郎",https://www.wiss.org/WISS2005Proceedings/papers/Interactive_Cooking_Navigation_System/hamada_wiss05.pdf,,,https://www.wiss.org/WISS2005Proceedings/
,ゼリープリンター,大和田 茂,https://www.wiss.org/WISS2005Proceedings/papers/Jello_Printer/JelloPrinter.pdf,,,https://www.wiss.org/WISS2005Proceedings/
