id,title,authors,pdf_url,mp4_url,review_url,source_page
,Birdlime Icon: 動的にターゲットを変形するポインティング支援手法の提案,築谷 喬之，高嶋 和毅 (大阪大学)，朝日 元生(株式会社 日本総合研究所)，伊藤 雄一，北村 喜文，岸野 文郎(大阪大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0003.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,Photoelastic Touchを拡張したやわらかな3次元タンジブルインタフェースの提案,徳井 太郎，佐藤 俊樹，横谷 知昂，小池 英樹(電気通信大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0034.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,Fur Display：コミュニケーションを可能にする毛皮,上間 裕二 (慶應義塾大学)，古川 正紘(電気通信大学大学院)，大越 淳史(慶應義塾大学)，常磐 拓司(東京大学)，杉本 麻樹，稲見昌彦(慶應義塾大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0041.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,運指認識技術を活用したピアノ演奏学習支援システムの設計と実装,竹川 佳成，寺田 努，塚本 昌彦(神戸大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0008.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,映像と連動したインタラクティブパフォーマンスのための演者支援システムの設計と実装,池田 惇，竹川 佳成，寺田 努，塚本 昌彦 (神戸大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0009.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,司会進行を支援するウェアラブルMCシステムの設計と実装,岡田 智成，山本 哲也，寺田 努，塚本 昌彦 (神戸大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0030.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,RerankEverything: ランキング結果を自由に閲覧するための再ランキングインタフェース,山本 岳洋，中村 聡史，田中 克己(京都大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0004.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,Cat@Log: Human Pet Interactionのための猫ウェアラブルセンシング,米澤香子，味八木崇，暦本純一(東京大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0022.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,ソーシャル顔アイコン,神原 啓介，塚田 浩二(お茶の水女子大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0024.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,ステンシルデザインのためのドローエディタ,五十嵐 悠紀，五十嵐 健夫 (東京大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0006.pdf,,,https://www.wiss.org/WISS2009Proceedings/
,DanceReProducer：既存のダンス動画の再利用により音楽に合った動画を作成できるシステム,室伏 空(早稲田大学)，中野 倫靖，後藤 真孝(産業技術総合研究所)，森島 繁生(早稲田大学),https://www.wiss.org/WISS2009Proceedings/papers/paper0013.pdf,,,https://www.wiss.org/WISS2009Proceedings/
